id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,iso3,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
381358,NIG-2021-1-14669-29,2021,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,1,"""@TomaszRolbiecki,2021-01-15,Yesterday's al-Naba features 2 new pieces""",@TomaszRolbiecki,2021-01-15,Yesterday's al-Naba features 2 new pieces,IS; al-Naba,3,Monguno lga,Monguno,Borno state,Monguno lga,12.578520,13.617270,POINT (13.61727 12.57852),147988,Nigeria,NGA,475,Africa,1,1,2021-01-05 00:00:00.000,2021-01-05 00:00:00.000,0,0,0,0,0,1,0,475,
381202,NIG-2021-1-14669-7,2021,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,1,"""@TomaszRolbiecki,2021-01-05,ISWAP claims to have killed 9""",@TomaszRolbiecki,2021-01-05,ISWAP claims to have killed 9,ISWAP,1,Malam Fatori village,in Mallam Fatori,Borno state,Abadam lga,13.673400,13.338800,POINT (13.3388 13.6734),149427,Nigeria,NGA,475,Africa,1,1,2021-01-05 00:00:00.000,2021-01-05 00:00:00.000,0,0,0,0,0,9,0,475,
381232,NIG-2021-1-14669-9,2021,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,1,"""@TomaszRolbiecki,2021-01-07,ISWAP claimed one more attack today""",@TomaszRolbiecki,2021-01-07,ISWAP claimed one more attack today,ISWAP,2,Malam Fatori village,on the road from Mallam Fatori to Bosso,Borno state,Abadam lga,13.673400,13.338800,POINT (13.3388 13.6734),149427,Nigeria,NGA,475,Africa,1,1,2021-01-06 00:00:00.000,2021-01-06 00:00:00.000,0,0,0,0,0,1,0,475,
381638,NIG-2021-1-14669-58,2021,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,1,"""The Guardian Nigeria,2021-01-22,Army kills terrorists, destroys five gun trucks, rescues commuters in Borno""",The Guardian Nigeria,2021-01-22,"Army kills terrorists, destroys five gun trucks, rescues commuters in Borno",Civilian JTF member,5,Gajiram-Monguno road,in the Gajiram/Monguno road; in the Ari/Gambouru/Gasarwa axis along Monguno road.,Borno state,,12.652114,13.362951,POINT (13.362951 12.652114),147987,Nigeria,NGA,475,Africa,1,1,2021-01-20 00:00:00.000,2021-01-20 00:00:00.000,0,2,0,0,2,2,2,475,
381550,NIG-2021-1-14669-56,2021,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,1,"""@TomaszRolbiecki,2021-02-02,ISWAP claimed 2 attacks today:""",@TomaszRolbiecki,2021-02-02,ISWAP claimed 2 attacks today:,ISWAP,1,Malam Fatori village,in Mallam Fatori,Borno state,Abadam lga,13.673400,13.338800,POINT (13.3388 13.6734),149427,Nigeria,NGA,475,Africa,1,1,2021-02-01 00:00:00.000,2021-02-01 00:00:00.000,0,0,0,0,0,1,0,475,
386580,NIG-2021-1-14669-87,2021,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,2,"""@TomaszRolbiecki,2021-02-09,ISWAP claimed 2 attacks today:"";""BBC Monitoring Africa,2021-02-11,IS claims multiple attacks against army in Nigeria""",@TomaszRolbiecki;BBC Monitoring Africa,2021-02-09;2021-02-11,ISWAP claimed 2 attacks today:;IS claims multiple attacks against army in Nigeria,IS,3,Monguno lga,on a checkpoint in Monguno,Borno state,Monguno lga,12.578520,13.617270,POINT (13.61727 12.57852),147988,Nigeria,NGA,475,Africa,1,1,2021-02-08 00:00:00.000,2021-02-08 00:00:00.000,0,0,0,0,0,3,0,475,
386629,NIG-2021-1-14669-96,2021,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,1,"""@TomaszRolbiecki,2021-02-16,ISWAP also claims to have destroyed""",@TomaszRolbiecki,2021-02-16,ISWAP also claims to have destroyed,IS,2,Malam Fatori village,on the road from Bosso to Mallam Fatori,Borno state,Abadam lga,13.673400,13.338800,POINT (13.3388 13.6734),149427,Nigeria,NGA,475,Africa,1,1,2021-02-15 00:00:00.000,2021-02-15 00:00:00.000,0,0,0,0,0,1,0,475,
386663,NIG-2021-1-14669-97,2021,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,1,"""@TomaszRolbiecki,2021-02-17,I did not post this claim yesterday""",@TomaszRolbiecki,2021-02-17,I did not post this claim yesterday,IS,1,Bindiri village,Bindiri,Borno state,Guzamala lga,12.811364,13.164377,POINT (13.164377 12.811364),147987,Nigeria,NGA,475,Africa,1,1,2021-02-16 00:00:00.000,2021-02-16 00:00:00.000,0,0,0,0,0,4,0,475,
386702,NIG-2021-1-14669-100,2021,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,1,"""@TomaszRolbiecki,2021-02-23,Back to yesterday's news - ISWAP claimed""",@TomaszRolbiecki,2021-02-23,Back to yesterday's news - ISWAP claimed,IS,5,Gajiram-Monguno road,on the road from Gajiram to Monguno,Borno state,,12.652114,13.362951,POINT (13.362951 12.652114),147987,Nigeria,NGA,475,Africa,1,1,2021-02-22 00:00:00.000,2021-02-22 00:00:00.000,0,0,0,0,0,1,0,475,
386752,NIG-2021-1-14669-107,2021,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,1,"""@TomaszRolbiecki,2021-03-02,A flurry of ISWAP claims this evening:""",@TomaszRolbiecki,2021-03-02,A flurry of ISWAP claims this evening:,IS,1,Baga village,Baga,Borno state,Kukawa lga,13.094660,13.823430,POINT (13.82343 13.09466),148708,Nigeria,NGA,475,Africa,1,1,2021-03-01 00:00:00.000,2021-03-01 00:00:00.000,0,0,0,0,0,5,0,475,
