id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,iso3,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
188418,NIG-2015-1-793-0,2015,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,6,"""BBC Monitoring Africa,2015-01-04,Nigeria's Boko Haramkills dozens of soldiers in northeast, abducts 40 young men"";""Reuters News,2015-01-05,Boko Haramkilled dozens seizing Nigerian town and army base"";""Reuters News,2015-01-08,Boko Haramkills dozens in fresh raids in Nigerian town"";""BBC Monitoring Africa,2015-01-09,Nigeria's northern town leader says hundreds killed in Boko Haram attack"";""Agence France Presse,2015-01-11,Nigeria appeals for support after 'deadliest' Boko Haram attack"";""Africa Check,2015-01-31,FACTSHEET: What happened in Baga?""",BBC Monitoring Africa;Reuters News;Reuters News;BBC Monitoring Africa;Agence France Presse;Africa Check,2015-01-04;2015-01-05;2015-01-08;2015-01-09;2015-01-11;2015-01-31,"Nigeria's Boko Haramkills dozens of soldiers in northeast, abducts 40 young men;Boko Haramkilled dozens seizing Nigerian town and army base;Boko Haramkills dozens in fresh raids in Nigerian town;Nigeria's northern town leader says hundreds killed in Boko Haram attack;Nigeria appeals for support after 'deadliest' Boko Haram attack;FACTSHEET: What happened in Baga?",Security sources in Borno State; military source and witnesses; defence spokesman Chris Olukolade,1,Doron Baga village,Doron Baga,Borno state,Kukawa lga,13.121110,13.860320,POINT (13.86032 13.12111),148708,Nigeria,NGA,475,Africa,1,1,2015-01-03 00:00:00.000,2015-01-03 00:00:00.000,14,3,0,0,17,17,17,475,
198518,NIG-2015-1-793-147,2015,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,1,"""Premium Times,2015-01-25,Inside details of Boko Haram’s 3-pronged attack on Maiduguri, Konduga, Monguno""",Premium Times,2015-01-25,"Inside details of Boko Haram’s 3-pronged attack on Maiduguri, Konduga, Monguno","Chris Olukolade, the Director of Defence Information",1,Monguno town,Monguno town,Borno state,Monguno lga,12.678630,13.607920,POINT (13.60792 12.67863),147988,Nigeria,NGA,475,Africa,1,1,2015-01-25 00:00:00.000,2015-01-25 00:00:00.000,0,3,0,0,3,3,3,475,
190721,NIG-2015-1-793-13,2015,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,1,"""BBC Monitoring Africa,2015-01-27,Nigerian president reports more weapons as military kill 53 insurgents""",BBC Monitoring Africa,2015-01-27,Nigerian president reports more weapons as military kill 53 insurgents,top intelligence source,1,Monguno town,Monguno,Borno state,Monguno lga,12.678630,13.607920,POINT (13.60792 12.67863),147988,Nigeria,NGA,475,Africa,1,2,2015-01-26 00:00:00.000,2015-01-27 00:00:00.000,0,3,0,0,3,3,3,475,
212321,NIG-2015-1-793-235,2015,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,1,"""BBC Monitoring Africa,2015-01-31,Chadian army kills ""significant number"" of Boko Haram militants - website""",BBC Monitoring Africa,2015-01-31,"Chadian army kills ""significant number"" of Boko Haram militants - website",,2,Abadam village,Area between Malam Fatori and Abadam,Borno state,Abadam lga,13.616900,13.264380,POINT (13.26438 13.6169),149427,Nigeria,NGA,475,Africa,2,2,2015-01-28 00:00:00.000,2015-01-30 00:00:00.000,0,2,0,0,2,2,2,475,
193249,NIG-2015-1-793-33,2015,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,2,"""All Africa,2015-02-06,Troops Kill Top Boko Haram Commander"";""Nigeria Watch (IBD004883),2015-02-05,Boko Haram Commander, Borno""",All Africa;Nigeria Watch (IBD004883),2015-02-06;2015-02-05,"Troops Kill Top Boko Haram Commander;Boko Haram Commander, Borno",,1,Malam Fatori village,Malamfatori town,Borno state,Abadam lga,13.673400,13.338800,POINT (13.3388 13.6734),149427,Nigeria,NGA,475,Africa,1,1,2015-02-05 00:00:00.000,2015-02-05 00:00:00.000,0,1,0,0,1,1,1,475,
193317,NIG-2015-1-793-45.7,2015,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,3,"""Agence France Presse,2015-02-18,Nigeria claims over 300 Boko Haram fighters killed in town recapture"";""Reuters News,2015-02-18,Nigeria military says kills 300 Boko Haram militants in counter offensive"";""All Africa,2015-02-19,Military Recovers Tanks, Ammunition From Boko Haram in Borno""",Agence France Presse;Reuters News;All Africa,2015-02-18;2015-02-18;2015-02-19,"Nigeria claims over 300 Boko Haram fighters killed in town recapture;Nigeria military says kills 300 Boko Haram militants in counter offensive;Military Recovers Tanks, Ammunition From Boko Haram in Borno",defence spokesman Chris Olukolade,1,Damakar village,Damakar village,Borno state,Nganzai lga,12.591180,13.207620,POINT (13.20762 12.59118),147987,Nigeria,NGA,475,Africa,2,2,2015-02-16 00:00:00.000,2015-02-18 00:00:00.000,0,0,0,27,27,27,27,475,
193318,NIG-2015-1-793-45.8,2015,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,3,"""Agence France Presse,2015-02-18,Nigeria claims over 300 Boko Haram fighters killed in town recapture"";""Reuters News,2015-02-18,Nigeria military says kills 300 Boko Haram militants in counter offensive"";""All Africa,2015-02-19,Military Recovers Tanks, Ammunition From Boko Haram in Borno""",Agence France Presse;Reuters News;All Africa,2015-02-18;2015-02-18;2015-02-19,"Nigeria claims over 300 Boko Haram fighters killed in town recapture;Nigeria military says kills 300 Boko Haram militants in counter offensive;Military Recovers Tanks, Ammunition From Boko Haram in Borno",defence spokesman Chris Olukolade,1,Kumaliwa village,Kumaliwa,Borno state,Monguno lga,12.576000,13.413610,POINT (13.41361 12.576),147987,Nigeria,NGA,475,Africa,2,2,2015-02-16 00:00:00.000,2015-02-18 00:00:00.000,0,0,0,27,27,27,27,475,
193309,NIG-2015-1-793-45.1,2015,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,3,"""Agence France Presse,2015-02-18,Nigeria claims over 300 Boko Haram fighters killed in town recapture"";""Reuters News,2015-02-18,Nigeria military says kills 300 Boko Haram militants in counter offensive"";""All Africa,2015-02-19,Military Recovers Tanks, Ammunition From Boko Haram in Borno""",Agence France Presse;Reuters News;All Africa,2015-02-18;2015-02-18;2015-02-19,"Nigeria claims over 300 Boko Haram fighters killed in town recapture;Nigeria military says kills 300 Boko Haram militants in counter offensive;Military Recovers Tanks, Ammunition From Boko Haram in Borno",defence spokesman Chris Olukolade,1,Monguno town,Monguno town,Borno state,Monguno lga,12.678630,13.607920,POINT (13.60792 12.67863),147988,Nigeria,NGA,475,Africa,2,2,2015-02-16 00:00:00.000,2015-02-18 00:00:00.000,1,0,0,27,28,28,28,475,
193323,NIG-2015-1-793-48,2015,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,1,"""Agence France Presse,2015-02-21,Nigerian military claims recapture of Baga from Boko Haram""",Agence France Presse,2015-02-21,Nigerian military claims recapture of Baga from Boko Haram,Defence spokesman Chris Olukolade,1,Baga village,Baga town,Borno state,Kukawa lga,13.094660,13.823430,POINT (13.82343 13.09466),148708,Nigeria,NGA,475,Africa,1,2,2015-02-20 00:00:00.000,2015-02-21 00:00:00.000,0,3,0,0,3,3,3,475,
193442,NIG-2015-1-793-62.2,2015,true,Clear,1,297,297,Nigeria: Government,640,640,Government of Nigeria - JAS,84,84,Government of Nigeria,1051,1051,JAS,3,"""Reuters News,2015-03-09,Chad, Niger soldiers killed as Boko Haram loses Nigerian towns"";""Agence France Presse,2015-03-09,Chad, Niger troops retake Nigerian town, 200 Islamists killed: source"";""Reuters News,2015-03-09,Chad, Niger troops eject Boko Haram from Nigerian towns""",Reuters News;Agence France Presse;Reuters News,2015-03-09;2015-03-09;2015-03-09,"Chad, Niger soldiers killed as Boko Haram loses Nigerian towns;Chad, Niger troops retake Nigerian town, 200 Islamists killed: source;Chad, Niger troops eject Boko Haram from Nigerian towns","Chadian security source, Niger official; Niger military sources",1,Malam Fatori village,Malam Fatouri town,Borno state,Abadam lga,13.673400,13.338800,POINT (13.3388 13.6734),149427,Nigeria,NGA,475,Africa,2,2,2015-03-08 00:00:00.000,2015-03-09 00:00:00.000,7,150,0,0,157,157,157,475,
